Yegorlykskaya	Stanitsa	1809	1859	40.65	46.55	null
Priobye	urban-type settlement	1964	2014	65.626111111111	62.546111111111	null
Thinali	municipality	1989	2010	19.78055556	39.75388889	null
Novaya Chara	urban-type settlement	1979	2029	118.25416666667	56.795277777778	null
Plastun (urban-type settlement)	urban-type settlement	1926	1976	136.28333333333	44.75	null
Fyodorovsky District, Republic of Bashkortostan	municipal district	1935	1985	56.13611111	54.68861111	Coat of Arms of Fedorovskiy rayon (Bashkortostan).png
Buffalo National Park	National Park of Canada	1909	1947	-110.9	52.8333	null
Fogaras County	county of the Kingdom of Hungary	1876	1926	24.96666667	45.85	null
Nikel	urban-type settlement	19	319	30.220555555556	69.408055555556	Coat of Arms of Nikel.png
Tilichiki	village	1898	1948	166.04861111111	60.433333333333	null
Kanevskaya	Stanitsa	1794	1894	38.95	46.083333333333	null
Koltsovo, Novosibirsk Oblast	Naukograd	1979	2029	83.183333333333	54.938888888889	null
Kleinfontein	town	1992	2042	28.501	-25.832	null
Nieu-Bethesda	town	1875	1925	24.55	-31.866666666667	null
Moorreesburg	town	1882	1932	18.666666666667	-33.15	null
Keimoes	town	1899	1949	20.966666666667	-28.7	null
Molteno, Eastern Cape	town	1874	1924	26.3631	-31.3961	null
Villiersdorp	town	1841	1891	19.283333333333	-33.983333333333	null
Underberg, KwaZulu-Natal	town	1917	1967	29.5	-29.783333333333	null
Steytlerville	town	1875	1925	24.344722222222	-33.332777777778	null
Porterville, Western Cape	town	1863	1913	18.983333333333	-33	null
Kommetjie	town	1903	1953	18.329166666667	-34.140277777778	null
Touws River (town)	town	1877	1927	20.031944444444	-33.316944444444	null
Franja Partisan Hospital	hospital	1963	2013	14.028575	46.15352778	null
Bulthaup	trademark	1949	1999	12.401766	48.424358	null
Kushchyovskaya	Stanitsa	1794	1894	39.666666666667	46.55	Coat of Arms of Kuschevskoe (Krasnodar krai).png
General Guido Partido	partido	1837	1887	-57.783333333333	-36.65	null
Tagansky Protected Command Point	military museum	1951	2001	37.64927694	55.741735	null
Khasan (urban-type settlement)	urban-type settlement	1959	2009	130.64555555556	42.428333333333	null
Aliskerovo	urban-type settlement	1961	2011	167.52861111111	67.777222222222	null
Altena Castle	castle	1100	1400	7.67528	51.2989	null
Altenstein Castle (Lower Franconia)	castle	1232	1532	10.7341	50.1715	null
Amlishagen Castle	castle	1200	1500	9.96194	49.2625	null
Château d'Arques	castle	1284	1584	2.36694444	42.95305556	null
Orania, Northern Cape	town	1990	2040	24.4	-29.816666666667	null
Blankenburg Castle	castle	1200	1500	9.61864	52.7549	null
Breitenstein Castle	rock castle	1246	1546	7.99861	49.3444	null
Bítov Castle	national monument of the Czech Republic	1061	1361	15.7005	48.9436	null
Starominskaya	Stanitsa	1794	1894	39.05	46.533333333333	null
Erichsberg Castle	castle	1100	1400	11.0597	51.6889	null
Falkenstein Castle (Niederfalkenstein)	castle	1164	1464	13.2402	46.9223	null
Fürstenberg Castle (Rheindiebach)	castle	1219	1519	7.78739	50.0417	null
Burgruine Gallenstein	castle	1278	1578	14.6167	47.6833	null
Helfenburk	castle	1355	1655	14.00638889	49.13611111	null
Hikone Castle	castle	1603	1753	136.25166666667	35.276388888889	null
Hochjuvalt Castle	castle	1216	1516	9.4208333333333	46.777777777778	null
Château de Hohbarr	rock castle	1123	1423	7.3388888888889	48.725	null
Hoheneck Castle	castle	1132	1432	10.5067	49.5214	null
Hohenfreyberg Castle	castle	1418	1718	10.5877	47.6138	null
Kaltenburg Castle	castle	1150	1450	10.2117	48.5814	null
Little France (castle)	castle	1484	1784	7.86278	49.105	null
Lauenstein Castle (Ith)	castle	1247	1547	9.54881	52.0764	null
Lichtenstein Castle (Lower Franconia)	castle	1232	1532	10.7794	50.1417	null
Château de Lichtenberg	castle	1206	1506	7.4872222222222	48.921111111111	null
Liebenzell Castle	castle	1100	1400	8.7258	48.7768	null
Nagahama Castle	castle	1575	1725	136.26111111	35.3775	null
Simon's Town	town	1680	1830	18.433333333333	-34.183333333333	null
Hout Bay	town	1681	1831	18.35	-34.033333333333	null
Paulpietersburg	town	1888	1938	30.816666666667	-27.416666666667	null
Okazaki Castle	castle	1455	1755	137.15888888889	34.956388888889	null
Okayama Castle	castle	1346	1646	133.93611111111	34.665277777778	null
